TSP,TSP Name,Post Date/Time,Effective Gas Day/Time,Meas Basis Desc,Loc,Loc Zn,Loc Name,Loc Purp Desc,Loc/QTI,Flow Ind,DC,OPC,TSQ,OAC,IT,Auth Overrun Ind,Nom Cap Exceed Ind,All Qty Avail,Qty Reason
829416002,"Fayetteville Express Pipeline, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,78524,MARKET,ANR QUITMAN,MQ,DPQ,D,1287500.0,1287500,3100,1284400,N,N,N,Y,
829416002,"Fayetteville Express Pipeline, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,78518,FAYETTEVILLE SUPPLY BASIN,CENTERPOINT/ROSE BUD,M2,RPQ,R,200000.0,200000,39000,161000,N,N,N,Y,
829416002,"Fayetteville Express Pipeline, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,78522,MARKET,NGPL RUSSELL,MQ,DPQ,D,500000.0,500000,40000,460000,N,N,N,Y,
829416002,"Fayetteville Express Pipeline, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,78513,FAYETTEVILLE SUPPLY BASIN,SWN/SOUTHEAST RAINBOW,M2,RPQ,R,200000.0,200000,31865,168135,N,N,N,Y,
829416002,"Fayetteville Express Pipeline, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,78516,FAYETTEVILLE SUPPLY BASIN,SWN/YELLOWSTONE,M2,RPQ,R,150000.0,150000,39000,111000,N,N,N,Y,
829416002,"Fayetteville Express Pipeline, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,78523,MARKET,TEXAS GAS LULA,MQ,DPQ,D,620000.0,620000,66162,553838,N,N,N,Y,
829416002,"Fayetteville Express Pipeline, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,78525,MARKET,TRUNKLINE PANOLA,MQ,DPQ,D,890625.0,890625,603,890022,N,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,100734,WEST TEXAS,3 BEAR LEA,M2,RPQ,R,40000.0,55000,54497,503,Y,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,60152,CENTRAL,ABO FUEL DEL,MQ,DPQ,D,5000.0,5000,1000,4000,Y,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,28786,PANHANDLE,ADOBE OWENS CORNING,MQ,DPQ,D,13000.0,13000,6500,6500,N,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,500307,CENTRAL,AGAVE LONG ARROYO MQ,M2,RPQ,R,70000.0,70000,1999,68001,Y,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,79028,WEST TEXAS,AGAVE ROJO BANCO,M2,RPQ,R,380000.0,380000,379795,205,Y,N,Y,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,79049,PANHANDLE,ATMOS AIRPORT I/C,MQ,DPQ,D,250.0,250,1,249,N,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,79052,PANHANDLE,ATMOS CANYON WEST I/C,MQ,DPQ,D,3000.0,3000,200,2800,N,N,N,Y,
007933047,"Transwestern Pipeline Company, LLC",08/29/2022 8:30PM,08/30/2022 9:00AM,MMBtu,79058,PANHANDLE,ATMOS PAMPA NORTH,MQ,DPQ,D,15600.0,15600,400,15200,N,N,N,Y,
